Wavelength	Guineapig2022_00000.asd.sco	Guineapig2022_00001.asd.sco	Guineapig2022_00002.asd.sco	Guineapig2022_00003.asd.sco	Guineapig2022_00004.asd.sco	Guineapig2022_00005.asd.sco	Guineapig2022_00006.asd.sco	Guineapig2022_00007.asd.sco	Guineapig2022_00008.asd.sco	Guineapig2022_00009.asd.sco	Guineapig2022_00010.asd.sco	Guineapig2022_00011.asd.sco	Guineapig2022_00012.asd.sco	Guineapig2022_00013.asd.sco	Guineapig2022_00014.asd.sco	Guineapig2022_00015.asd.sco	Guineapig2022_00016.asd.sco	Guineapig2022_00017.asd.sco	Guineapig2022_00018.asd.sco
373	0.10627268999815	3.44114303588867E-02	3.94107028841972E-02	3.87210324406624E-02	6.25555515289307E-02	5.25271184742451E-02	0.1069430783391	9.00609791278839E-02	7.69227519631386E-02	5.71960546076298E-02	4.14602234959602E-02	0.118910476565361	0.256168365478516	0.19627857208252	0.125109255313873	6.51761144399643E-02	0.119748994708061	0.132676973938942	 0.965625882148743 
374	0.1067725867033	3.48882861435413E-02	4.00988906621933E-02	3.78665216267109E-02	6.26667663455009E-02	5.30189014971256E-02	0.108156450092793	9.07129421830177E-02	7.76490569114685E-02	5.52105270326138E-02	4.17434424161911E-02	0.118207231163979	0.259256780147552	0.19659698009491	0.124653644859791	6.62635117769241E-02	0.120130687952042	0.133783504366875	 0.964102983474731 
375	0.107284843921661	3.60128320753574E-02	4.03851568698883E-02	3.85778434574604E-02	6.37817829847336E-02	5.34684807062149E-02	0.109088689088821	9.05100330710411E-02	7.77824968099594E-02	5.56415244936943E-02	4.12441454827785E-02	0.118376635015011	0.261828720569611	0.196971923112869	0.124691143631935	6.79732486605644E-02	0.12162771821022	0.134309232234955	 0.965589642524719 
376	0.107132866978645	3.63149419426918E-02	3.95278669893742E-02	4.03002053499222E-02	6.47762566804886E-02	5.36329783499241E-02	0.108881518244743	0.090016171336174	7.72031471133232E-02	0.05815564468503	0.04062644764781	0.119463793933392	0.262025654315948	0.196822121739388	0.125768437981606	6.85752183198929E-02	0.122412703931332	0.134475111961365	 0.968645930290222 
377	0.106679484248161	3.39224115014076E-02	3.83514612913132E-02	3.81005145609379E-02	6.36756643652916E-02	5.27969188988209E-02	0.107519775629044	9.07956883311272E-02	7.66236633062363E-02	5.51541075110435E-02	3.98364402353764E-02	0.120250657200813	0.261861234903336	0.19787822663784	0.125570520758629	6.65678307414055E-02	0.120349928736687	0.136417150497437	 0.967691600322723 
378	0.108572505414486	3.36767919361591E-02	3.90438511967659E-02	3.70914004743099E-02	6.47055134177208E-02	0.053470317274332	0.108215004205704	9.04641821980476E-02	7.68435373902321E-02	5.45695871114731E-02	4.06218245625496E-02	0.121604986488819	0.263590455055237	0.198538929224014	0.126036629080772	6.60185590386391E-02	0.121352784335613	0.137303695082664	 0.967470407485962 
379	0.110143318772316	3.52365933358669E-02	0.040923148393631	3.80455814301968E-02	6.67610093951225E-02	5.57626038789749E-02	0.110389940440655	9.06020104885101E-02	0.078178234398365	5.66887706518173E-02	4.20583002269268E-02	0.122901223599911	0.266146332025528	0.198949947953224	0.127012997865677	6.76094517111778E-02	0.124021641910076	0.138325393199921	 0.96757698059082 
380	0.109201967716217	3.65953631699085E-02	4.22962047159672E-02	3.96870411932468E-02	6.76494538784027E-02	5.81625662744045E-02	0.112041786313057	9.23052430152893E-02	8.01338031888008E-02	5.89508451521397E-02	4.28051464259624E-02	0.12339311093092	0.267943769693375	0.199674800038338	0.127786442637444	6.99535757303238E-02	0.12536783516407	0.140361830592155	 0.96696674823761 
381	0.108977824449539	3.50185185670853E-02	4.08114828169346E-02	3.80835570394993E-02	6.60334601998329E-02	5.61716444790363E-02	0.10982009023428	9.21809673309326E-02	8.05578008294106E-02	5.62179274857044E-02	4.24634739756584E-02	0.123042315244675	0.268761873245239	0.201292395591736	0.127517104148865	6.85512199997902E-02	0.123470358550549	0.140236809849739	 0.96641993522644 
382	0.108624964952469	3.47689464688301E-02	4.03635688126087E-02	3.77722680568695E-02	6.55989944934845E-02	5.63487336039543E-02	0.110298186540604	9.26394090056419E-02	8.00008699297905E-02	5.55364824831486E-02	4.22077290713787E-02	0.121819451451302	0.269423872232437	0.20189668238163	0.127742245793343	6.70422911643982E-02	0.122731789946556	0.139839053153992	 0.965800821781158 
383	0.108342528343201	3.54828834533691E-02	4.12499867379665E-02	3.86609695851803E-02	6.66841343045235E-02	5.82234188914299E-02	0.112713046371937	9.31796059012413E-02	7.95265287160873E-02	5.72212934494019E-02	4.22143563628197E-02	0.121347062289715	0.270246118307114	0.201309487223625	0.128031685948372	6.72295019030571E-02	0.123364463448524	0.140486001968384	 0.965253949165344 
384	0.10863983631134	3.47053483128548E-02	4.16871532797813E-02	3.84654179215431E-02	6.76476657390594E-02	5.79910948872566E-02	0.11295710504055	9.23585444688797E-02	8.01567435264587E-02	5.80358244478703E-02	4.20503094792366E-02	0.123189464211464	0.271186828613281	0.200504750013351	0.127223804593086	6.91372230648994E-02	0.123499274253845	0.142500936985016	 0.965009331703186 
385	0.10848680883646	0.033354576677084	3.96145768463612E-02	3.76621969044209E-02	6.66158646345139E-02	5.58633767068386E-02	0.112425126135349	9.30384621024132E-02	8.06727781891823E-02	5.66934607923031E-02	4.08314056694508E-02	0.122615315020084	0.271506190299988	0.201071709394455	0.126337751746178	6.82379305362701E-02	0.123462058603764	0.141634538769722	 0.964591026306152 
386	0.108385905623436	0.033185787498951	3.89938615262508E-02	3.75679917633533E-02	6.60159215331078E-02	5.62448538839817E-02	0.112587198615074	9.41948741674423E-02	8.12722146511078E-02	5.59931024909019E-02	4.11499701440334E-02	0.122637070715427	0.273237824440002	0.202622279524803	0.127090379595757	6.69642835855484E-02	0.12398149818182	0.142368718981743	 0.963933706283569 
387	0.108763106167316	3.41778993606567E-02	4.04487252235413E-02	3.84784564375877E-02	6.67819902300835E-02	0.058943796902895	0.113487876951694	9.48059484362602E-02	8.14776346087456E-02	5.69792091846466E-02	4.28928025066853E-02	0.123771347105503	0.276074677705765	0.204028278589249	0.128681510686874	6.71025067567825E-02	0.12469232827425	0.145400419831276	 0.963470757007599 
388	0.109749011695385	3.42884138226509E-02	4.03291396796703E-02	3.94239276647568E-02	6.76837489008904E-02	5.83960264921188E-02	0.11358879506588	9.43410620093346E-02	8.00336897373199E-02	5.82297444343567E-02	4.26938496530056E-02	0.123048648238182	0.276970654726028	0.203709304332733	0.127628579735756	6.88250064849854E-02	0.124051682651043	0.146414071321487	 0.964140594005585 
389	0.108507059514523	3.39950211346149E-02	4.05039601027966E-02	3.78073416650295E-02	6.73543587327003E-02	5.78666813671589E-02	0.113254688680172	9.32934060692787E-02	8.02486836910248E-02	5.72185106575489E-02	4.19398881494999E-02	0.122656472027302	0.277482837438583	0.203036189079285	0.127477705478668	6.80033639073372E-02	0.124359384179115	0.146087616682053	 0.965340495109558 
390	0.106900528073311	3.39481681585312E-02	4.04341742396355E-02	3.66564393043518E-02	6.69056624174118E-02	5.81417679786682E-02	0.112547434866428	9.30624306201935E-02	0.081018939614296	5.57638481259346E-02	4.15787100791931E-02	0.12300717830658	0.277906954288483	0.203242138028145	0.127656027674675	6.66938349604607E-02	0.124956503510475	0.147216081619263	 0.966011524200439 
391	0.106847666203976	0.03433558344841	3.96900437772274E-02	3.79187315702438E-02	6.75055310130119E-02	5.92145957052708E-02	0.112046167254448	9.41473692655563E-02	8.11455473303795E-02	5.55888786911964E-02	4.18649576604366E-02	0.123735800385475	0.278515785932541	0.204455733299255	0.127373427152634	6.69132471084595E-02	0.125071719288826	0.150582507252693	 0.965686500072479 
392	0.107893578708172	0.033967912197113	3.91837507486343E-02	3.76458466053009E-02	6.92726299166679E-02	6.05431608855724E-02	0.113908804953098	9.43985655903816E-02	8.17466229200363E-02	5.55279143154621E-02	4.14257720112801E-02	0.123375408351421	0.280225872993469	0.204051554203033	0.127554193139076	6.69824779033661E-02	0.125282421708107	0.150651022791862	 0.965468287467957 
393	0.108759626746178	0.034068126231432	3.95555794239044E-02	3.81631590425968E-02	6.94297477602959E-02	6.09643682837486E-02	0.115220613777637	9.48292315006256E-02	8.21737796068192E-02	5.69563582539558E-02	4.16888706386089E-02	0.12406200170517	0.281683146953583	0.204651400446892	0.127706706523895	6.79614841938019E-02	0.125588193535805	0.150637596845627	 0.965201437473297 
394	0.108693473041058	0.033975288271904	3.96820120513439E-02	0.03825793415308	6.82588070631027E-02	6.04540519416332E-02	0.115183241665363	9.51415225863457E-02	8.20471867918968E-02	5.78892342746258E-02	4.16067726910114E-02	0.124648958444595	0.282300859689713	0.205561846494675	0.127670869231224	6.85028731822968E-02	0.125606819987297	0.152034446597099	 0.965132653713226 
395	0.107747375965118	3.27967628836632E-02	3.84111814200878E-02	3.63169200718403E-02	6.76057040691376E-02	5.98076172173023E-02	0.114400543272495	9.48832258582115E-02	8.14586579799652E-02	5.61440102756023E-02	4.00510095059872E-02	0.123457036912441	0.282243996858597	0.205150976777077	0.127611637115479	6.71327412128448E-02	0.125225067138672	0.154985383152962	 0.965467393398285 
396	0.108772821724415	3.32385860383511E-02	3.92662025988102E-02	3.74772846698761E-02	6.96786642074585E-02	0.061132937669754	0.115542814135551	9.60546061396599E-02	8.24919492006302E-02	5.72733618319035E-02	0.042088121175766	0.12455427646637	0.283753395080566	0.205114781856537	0.12881700694561	6.78076818585396E-02	0.127084910869598	0.156568214297295	 0.965577006340027 
397	0.109770908951759	3.40741239488125E-02	4.03976999223232E-02	3.89786697924137E-02	7.10344091057777E-02	6.21454045176506E-02	0.116616010665894	9.69808772206306E-02	8.33299458026886E-02	5.82315698266029E-02	4.33105975389481E-02	0.125693917274475	0.285457968711853	0.206165120005608	0.129518508911133	6.89371824264526E-02	0.128062158823013	0.157503426074982	 0.964884996414185 
398	0.109669893980026	3.43138016760349E-02	4.06436957418919E-02	3.87885048985481E-02	7.07596838474274E-02	6.20038397610188E-02	0.116702131927013	9.70035195350647E-02	8.33405777812004E-02	5.76425530016422E-02	0.042280051857233	0.125583171844482	0.286112248897552	0.207619950175285	0.12898650765419	6.92491307854652E-02	0.127370804548264	0.158016130328178	 0.964083194732666 
399	0.108763322234154	3.35907302796841E-02	4.00072671473026E-02	3.64316329360008E-02	7.08079561591148E-02	6.16610608994961E-02	0.116348296403885	9.67510566115379E-02	8.33611786365509E-02	5.64890913665295E-02	4.12099547684193E-02	0.124461397528648	0.285047769546509	0.207609817385674	0.127779081463814	6.83128610253334E-02	0.12694263458252	0.15762597322464	 0.964885413646698 
400	0.109136246144772	3.34154441952705E-02	0.039982121437788	0.037336427718401	6.99519962072372E-02	6.23614378273487E-02	0.116713859140873	9.66510251164436E-02	8.38746279478073E-02	5.68675734102726E-02	4.15648892521858E-02	0.125556066632271	0.286700665950775	0.207666143774986	0.12698931992054	6.79715350270271E-02	0.127790376543999	0.158994004130363	 0.965829491615295 
401	0.109737686812878	3.34444902837276E-02	0.040084470063448	3.83643545210361E-02	6.94262161850929E-02	6.29977285861969E-02	0.117484703660011	9.71640571951866E-02	8.45906361937523E-02	5.74451051652431E-02	4.17633652687073E-02	0.126780092716217	0.288869917392731	0.207780838012695	0.127071991562843	6.78976401686668E-02	0.128598541021347	0.16077946126461	 0.965590059757233 
402	0.109517097473145	3.32715921103954E-02	3.98994274437428E-02	0.037077322602272	6.98456913232803E-02	6.28727674484253E-02	0.118149943649769	9.80491563677788E-02	8.51562395691872E-02	5.71681223809719E-02	4.09546829760075E-02	0.126371338963509	0.289340227842331	0.207889303565025	0.127808853983879	6.75709620118141E-02	0.12827704846859	0.161731064319611	 0.963963985443115 
403	0.108750738203526	0.033269576728344	4.01960946619511E-02	3.64530384540558E-02	6.91469460725784E-02	6.33009821176529E-02	0.118381358683109	9.72393527626991E-02	8.53562951087952E-02	5.71971572935581E-02	4.14816476404667E-02	0.125560030341148	0.288758367300034	0.208492681384087	0.127849668264389	6.69653341174126E-02	0.127035036683083	0.162532031536102	 0.962865114212036 
404	0.109118357300758	0.033041700720787	4.00578789412975E-02	3.71252559125423E-02	7.09439590573311E-02	6.43002092838287E-02	0.119638234376907	9.87861454486847E-02	8.66337344050407E-02	5.80181591212749E-02	4.21759001910686E-02	0.126299262046814	0.289152026176453	0.209266975522041	0.128415003418922	6.72910511493683E-02	0.128296345472336	0.16467858850956	 0.963607668876648 
405	0.109724402427673	3.28594706952572E-02	3.96527200937271E-02	3.81027348339558E-02	7.28294402360916E-02	6.49975091218948E-02	0.121223032474518	0.101061418652534	8.80857706069946E-02	5.85729852318764E-02	4.21794876456261E-02	0.127384424209595	0.290345519781113	0.210096150636673	0.128695413470268	6.82026073336601E-02	0.130302995443344	0.16662985086441	 0.965161323547363 
406	0.109167851507664	3.30608710646629E-02	3.95160689949989E-02	3.79537902772427E-02	0.071293868124485	6.45797178149223E-02	0.1218431442976	0.100965157151222	8.82374420762062E-02	5.77489472925663E-02	4.11608070135117E-02	0.126834571361542	0.291220456361771	0.210863471031189	0.127727925777435	6.86807855963707E-02	0.129918977618217	0.16642190515995	 0.965544521808624 
407	0.109464876353741	3.27963531017303E-02	3.96666675806046E-02	3.69867570698261E-02	7.04264491796494E-02	0.064578615128994	0.122004166245461	0.100483499467373	8.78453329205513E-02	5.76908849179745E-02	4.08417880535126E-02	0.125962972640991	0.290915131568909	0.210969030857086	0.12810942530632	6.77723214030266E-02	0.128685936331749	0.166656970977783	 0.963338553905487 
408	0.109449371695518	0.032887626439333	3.96588109433651E-02	3.68274785578251E-02	7.09690302610397E-02	6.53020143508911E-02	0.122557327151299	0.101160690188408	8.85300934314728E-02	5.83124496042728E-02	4.11495231091976E-02	0.126212179660797	0.291976809501648	0.211149469017982	0.12906776368618	6.73843622207642E-02	0.129053622484207	0.168493986129761	 0.962723016738892 
409	0.109193257987499	3.31564135849476E-02	3.94748821854591E-02	3.76698896288872E-02	7.19638392329216E-02	6.61034509539604E-02	0.123375415802002	0.102603510022163	8.98816362023354E-02	5.88813461363316E-02	4.16414514183998E-02	0.127277731895447	0.294085532426834	0.211967170238495	0.129536405205727	6.78798407316208E-02	0.130596786737442	0.171076729893684	 0.964182317256927 
410	0.110011026263237	3.24782133102417E-02	3.95165123045444E-02	3.82750630378723E-02	7.12461993098259E-02	6.56775161623955E-02	0.123456336557865	0.102731592953205	0.089675135910511	5.83238638937473E-02	4.16860319674015E-02	0.127296522259712	0.294190675020218	0.213627904653549	0.128544420003891	6.80047571659088E-02	0.130300313234329	0.171908721327782	 0.9644935131073 
411	0.109725825488567	3.23817692697048E-02	3.94848585128784E-02	3.79686988890171E-02	0.07121891528368	6.68538361787796E-02	0.123869366943836	0.102793119847775	0.089992381632328	5.83007708191872E-02	4.11845818161964E-02	0.127023071050644	0.294453650712967	0.213775828480721	0.128144592046738	6.78302645683289E-02	0.130412384867668	0.172489061951637	 0.964036107063293 
412	0.109472274780273	0.033063430339098	3.99330742657185E-02	3.76952663064003E-02	7.17719495296478E-02	6.79587125778198E-02	0.124689809978008	0.103087559342384	9.05789360404015E-02	5.89906610548496E-02	0.041381973773241	0.127455189824104	0.295549184083939	0.213916212320328	0.129031404852867	6.77498877048492E-02	0.130871847271919	0.173903524875641	 0.963496685028076 
413	0.110130839049816	3.39171513915062E-02	4.08058762550354E-02	0.038050964474678	7.23385810852051E-02	6.77784010767937E-02	0.12554195523262	0.103577665984631	9.09295827150345E-02	5.98580539226532E-02	4.24174405634403E-02	0.128644615411758	0.297132402658463	0.215000107884407	0.130544304847717	6.79721906781197E-02	0.131228536367416	0.176002502441406	 0.963357865810394 
414	0.110739141702652	3.30445468425751E-02	4.02875281870365E-02	3.81943508982658E-02	7.23868533968925E-02	6.79091066122055E-02	0.125460997223854	0.103929586708546	0.090966023504734	5.94078153371811E-02	4.13128472864628E-02	0.128443032503128	0.297154247760773	0.215021774172783	0.129576861858368	6.81821405887604E-02	0.131032079458237	0.175956800580025	 0.963428497314453 
415	0.110639862716198	3.26284095644951E-02	0.040153905749321	3.79058755934238E-02	7.26421624422073E-02	6.85581788420677E-02	0.125148430466652	0.103720292448997	9.06778499484062E-02	5.89681416749954E-02	4.08238731324673E-02	0.128010362386703	0.297364830970764	0.21527236700058	0.129043564200401	6.80382624268532E-02	0.13129124045372	0.176469549536705	 0.963239192962646 
416	0.110384188592434	3.27276401221752E-02	4.02168929576874E-02	3.73979620635509E-02	7.30240121483803E-02	6.90708160400391E-02	0.124950416386127	0.103306092321873	9.04997140169144E-02	5.89246228337288E-02	4.09246012568474E-02	0.127883747220039	0.298237979412079	0.215919986367226	0.129196539521217	6.75391927361488E-02	0.131908163428307	0.177412554621696	 0.963190615177155 
